original_url,modified_url,gender,DATE,MEET,STATE_PROV
https://www.tfrrs.org/results/87891/UCCS_Invitational_and_Multi,https://www.tfrrs.org/results/m/87891/UCCS_Invitational_and_Multi,m,2024-12-13,UCCS Invitational and Multi,CO
https://www.tfrrs.org/results/87891/UCCS_Invitational_and_Multi,https://www.tfrrs.org/results/f/87891/UCCS_Invitational_and_Multi,f,2024-12-13,UCCS Invitational and Multi,CO
https://www.tfrrs.org/results/87780/NSU_vs_SD_Mines_Dual,https://www.tfrrs.org/results/m/87780/NSU_vs_SD_Mines_Dual,m,2024-12-13,NSU vs SD Mines Dual,SD
https://www.tfrrs.org/results/87780/NSU_vs_SD_Mines_Dual,https://www.tfrrs.org/results/f/87780/NSU_vs_SD_Mines_Dual,f,2024-12-13,NSU vs SD Mines Dual,SD
https://www.tfrrs.org/results/87673/2024_UNK_Pre-Holiday_Classic,https://www.tfrrs.org/results/m/87673/2024_UNK_Pre-Holiday_Classic,m,2024-12-13,2024 UNK Pre-Holiday Classic,NE
https://www.tfrrs.org/results/87673/2024_UNK_Pre-Holiday_Classic,https://www.tfrrs.org/results/f/87673/2024_UNK_Pre-Holiday_Classic,f,2024-12-13,2024 UNK Pre-Holiday Classic,NE
https://www.tfrrs.org/results/87722/Dartmouth_December_Invite,https://www.tfrrs.org/results/m/87722/Dartmouth_December_Invite,m,2024-12-13,Dartmouth December Invite,NH
https://www.tfrrs.org/results/87722/Dartmouth_December_Invite,https://www.tfrrs.org/results/f/87722/Dartmouth_December_Invite,f,2024-12-13,Dartmouth December Invite,NH
https://www.tfrrs.org/results/87477/2024_Blue_Demon_Holiday_Invite,https://www.tfrrs.org/results/m/87477/2024_Blue_Demon_Holiday_Invite,m,2024-12-13,2024 Blue Demon Holiday Invite,IL
https://www.tfrrs.org/results/87477/2024_Blue_Demon_Holiday_Invite,https://www.tfrrs.org/results/f/87477/2024_Blue_Demon_Holiday_Invite,f,2024-12-13,2024 Blue Demon Holiday Invite,IL
https://www.tfrrs.org/results/87714/2024_Husker_Holiday_Open,https://www.tfrrs.org/results/m/87714/2024_Husker_Holiday_Open,m,2024-12-13,2024 Husker Holiday Open,NE
https://www.tfrrs.org/results/87714/2024_Husker_Holiday_Open,https://www.tfrrs.org/results/f/87714/2024_Husker_Holiday_Open,f,2024-12-13,2024 Husker Holiday Open,NE
https://www.tfrrs.org/results/87786/Susquehanna_Early_Season_Invite_and_Multi,https://www.tfrrs.org/results/m/87786/Susquehanna_Early_Season_Invite_and_Multi,m,2024-12-13,Susquehanna Early Season Invite and Multi,PA
https://www.tfrrs.org/results/87786/Susquehanna_Early_Season_Invite_and_Multi,https://www.tfrrs.org/results/f/87786/Susquehanna_Early_Season_Invite_and_Multi,f,2024-12-13,Susquehanna Early Season Invite and Multi,PA
https://www.tfrrs.org/results/87907/DWU_Snow_Tiger_Open,https://www.tfrrs.org/results/m/87907/DWU_Snow_Tiger_Open,m,2024-12-13,DWU Snow Tiger Open,SD
https://www.tfrrs.org/results/87907/DWU_Snow_Tiger_Open,https://www.tfrrs.org/results/f/87907/DWU_Snow_Tiger_Open,f,2024-12-13,DWU Snow Tiger Open,SD
https://www.tfrrs.org/results/87709/Dutch_Holiday_Preview,https://www.tfrrs.org/results/m/87709/Dutch_Holiday_Preview,m,2024-12-13,Dutch Holiday Preview,IA
https://www.tfrrs.org/results/87709/Dutch_Holiday_Preview,https://www.tfrrs.org/results/f/87709/Dutch_Holiday_Preview,f,2024-12-13,Dutch Holiday Preview,IA
https://www.tfrrs.org/results/88244/Iowa_State_Holiday_Invitational,https://www.tfrrs.org/results/m/88244/Iowa_State_Holiday_Invitational,m,2024-12-13,Iowa State Holiday Invitational,IA
https://www.tfrrs.org/results/88244/Iowa_State_Holiday_Invitational,https://www.tfrrs.org/results/f/88244/Iowa_State_Holiday_Invitational,f,2024-12-13,Iowa State Holiday Invitational,IA
https://www.tfrrs.org/results/87728/Art_Kadish_Elm_City_Challenge,https://www.tfrrs.org/results/m/87728/Art_Kadish_Elm_City_Challenge,m,2024-12-13,Art Kadish Elm City Challenge,CT
https://www.tfrrs.org/results/87728/Art_Kadish_Elm_City_Challenge,https://www.tfrrs.org/results/f/87728/Art_Kadish_Elm_City_Challenge,f,2024-12-13,Art Kadish Elm City Challenge,CT
https://www.tfrrs.org/results/87829/Louisville_Opener,https://www.tfrrs.org/results/m/87829/Louisville_Opener,m,2024-12-11,Louisville Opener,KY
https://www.tfrrs.org/results/87829/Louisville_Opener,https://www.tfrrs.org/results/f/87829/Louisville_Opener,f,2024-12-11,Louisville Opener,KY
https://www.tfrrs.org/results/87432/BYU_December_Invite,https://www.tfrrs.org/results/m/87432/BYU_December_Invite,m,2024-12-10,BYU December Invite,UT
https://www.tfrrs.org/results/87432/BYU_December_Invite,https://www.tfrrs.org/results/f/87432/BYU_December_Invite,f,2024-12-10,BYU December Invite,UT
https://www.tfrrs.org/results/87569/2024_Joe_Donahue_Games_Opener,https://www.tfrrs.org/results/m/87569/2024_Joe_Donahue_Games_Opener,m,2024-12-08,2024 Joe Donahue Games Opener,MA
https://www.tfrrs.org/results/87569/2024_Joe_Donahue_Games_Opener,https://www.tfrrs.org/results/f/87569/2024_Joe_Donahue_Games_Opener,f,2024-12-08,2024 Joe Donahue Games Opener,MA
https://www.tfrrs.org/results/87184/Holiday_Kickoff_Open,https://www.tfrrs.org/results/m/87184/Holiday_Kickoff_Open,m,2024-12-08,Holiday Kickoff Open,VA
https://www.tfrrs.org/results/87184/Holiday_Kickoff_Open,https://www.tfrrs.org/results/f/87184/Holiday_Kickoff_Open,f,2024-12-08,Holiday Kickoff Open,VA
https://www.tfrrs.org/results/87761/2024_UMass_Boston_Beacon_Season_Opener,https://www.tfrrs.org/results/m/87761/2024_UMass_Boston_Beacon_Season_Opener,m,2024-12-08,2024 UMass Boston Beacon Season Opener,MA
https://www.tfrrs.org/results/87761/2024_UMass_Boston_Beacon_Season_Opener,https://www.tfrrs.org/results/f/87761/2024_UMass_Boston_Beacon_Season_Opener,f,2024-12-08,2024 UMass Boston Beacon Season Opener,MA
https://www.tfrrs.org/results/88006/Holiday_Multi,https://www.tfrrs.org/results/m/88006/Holiday_Multi,m,2024-12-08,Holiday Multi,NE
https://www.tfrrs.org/results/88006/Holiday_Multi,https://www.tfrrs.org/results/f/88006/Holiday_Multi,f,2024-12-08,Holiday Multi,NE
https://www.tfrrs.org/results/86859/JDL_Early_Bird_Invitational,https://www.tfrrs.org/results/m/86859/JDL_Early_Bird_Invitational,m,2024-12-08,JDL Early Bird Invitational,NC
https://www.tfrrs.org/results/86859/JDL_Early_Bird_Invitational,https://www.tfrrs.org/results/f/86859/JDL_Early_Bird_Invitational,f,2024-12-08,JDL Early Bird Invitational,NC
https://www.tfrrs.org/results/87312/CNU_Holiday_Open,https://www.tfrrs.org/results/m/87312/CNU_Holiday_Open,m,2024-12-08,CNU Holiday Open,VA
https://www.tfrrs.org/results/87312/CNU_Holiday_Open,https://www.tfrrs.org/results/f/87312/CNU_Holiday_Open,f,2024-12-08,CNU Holiday Open,VA
https://www.tfrrs.org/results/87157/Baron_Invitational,https://www.tfrrs.org/results/m/87157/Baron_Invitational,m,2024-12-07,Baron Invitational,GA
https://www.tfrrs.org/results/87157/Baron_Invitational,https://www.tfrrs.org/results/f/87157/Baron_Invitational,f,2024-12-07,Baron Invitational,GA
https://www.tfrrs.org/results/88069/Washburn_Alumni_Invite,https://www.tfrrs.org/results/m/88069/Washburn_Alumni_Invite,m,2024-12-07,Washburn Alumni Invite,KS
https://www.tfrrs.org/results/88069/Washburn_Alumni_Invite,https://www.tfrrs.org/results/f/88069/Washburn_Alumni_Invite,f,2024-12-07,Washburn Alumni Invite,KS
https://www.tfrrs.org/results/87170/MSJ_Fall_Preview,https://www.tfrrs.org/results/m/87170/MSJ_Fall_Preview,m,2024-12-07,MSJ Fall Preview,OH
https://www.tfrrs.org/results/87170/MSJ_Fall_Preview,https://www.tfrrs.org/results/f/87170/MSJ_Fall_Preview,f,2024-12-07,MSJ Fall Preview,OH
https://www.tfrrs.org/results/87520/Carthage_Forever_Red_Alumni_Classic,https://www.tfrrs.org/results/m/87520/Carthage_Forever_Red_Alumni_Classic,m,2024-12-07,Carthage Forever Red Alumni Classic,WI
https://www.tfrrs.org/results/87520/Carthage_Forever_Red_Alumni_Classic,https://www.tfrrs.org/results/f/87520/Carthage_Forever_Red_Alumni_Classic,f,2024-12-07,Carthage Forever Red Alumni Classic,WI
https://www.tfrrs.org/results/87590/Wittenberg_Tiger_Opener,https://www.tfrrs.org/results/m/87590/Wittenberg_Tiger_Opener,m,2024-12-07,Wittenberg Tiger Opener,OH
https://www.tfrrs.org/results/87590/Wittenberg_Tiger_Opener,https://www.tfrrs.org/results/f/87590/Wittenberg_Tiger_Opener,f,2024-12-07,Wittenberg Tiger Opener,OH
https://www.tfrrs.org/results/87883/Yale_Season_Opener,https://www.tfrrs.org/results/m/87883/Yale_Season_Opener,m,2024-12-07,Yale Season Opener,CT
https://www.tfrrs.org/results/87883/Yale_Season_Opener,https://www.tfrrs.org/results/f/87883/Yale_Season_Opener,f,2024-12-07,Yale Season Opener,CT
https://www.tfrrs.org/results/87471/Mountain_Goat_Invitational,https://www.tfrrs.org/results/m/87471/Mountain_Goat_Invitational,m,2024-12-07,Mountain Goat Invitational,TN
https://www.tfrrs.org/results/87471/Mountain_Goat_Invitational,https://www.tfrrs.org/results/f/87471/Mountain_Goat_Invitational,f,2024-12-07,Mountain Goat Invitational,TN
https://www.tfrrs.org/results/87445/Mike_Thorson_Open,https://www.tfrrs.org/results/m/87445/Mike_Thorson_Open,m,2024-12-07,Mike Thorson Open,ND
https://www.tfrrs.org/results/87445/Mike_Thorson_Open,https://www.tfrrs.org/results/f/87445/Mike_Thorson_Open,f,2024-12-07,Mike Thorson Open,ND
https://www.tfrrs.org/results/87158/2024_Birds_and_the_Bees_Holiday_Open,https://www.tfrrs.org/results/m/87158/2024_Birds_and_the_Bees_Holiday_Open,m,2024-12-07,2024 Birds and the Bees Holiday Open,NE
https://www.tfrrs.org/results/87158/2024_Birds_and_the_Bees_Holiday_Open,https://www.tfrrs.org/results/f/87158/2024_Birds_and_the_Bees_Holiday_Open,f,2024-12-07,2024 Birds and the Bees Holiday Open,NE
https://www.tfrrs.org/results/87972/ASU_Early_Grizzly_Open,https://www.tfrrs.org/results/m/87972/ASU_Early_Grizzly_Open,m,2024-12-07,ASU Early Grizzly Open,CO
https://www.tfrrs.org/results/87972/ASU_Early_Grizzly_Open,https://www.tfrrs.org/results/f/87972/ASU_Early_Grizzly_Open,f,2024-12-07,ASU Early Grizzly Open,CO
https://www.tfrrs.org/results/87441/Youree_Spence_Garcia_Meet,https://www.tfrrs.org/results/m/87441/Youree_Spence_Garcia_Meet,m,2024-12-07,Youree Spence Garcia Meet,NY
https://www.tfrrs.org/results/87441/Youree_Spence_Garcia_Meet,https://www.tfrrs.org/results/f/87441/Youree_Spence_Garcia_Meet,f,2024-12-07,Youree Spence Garcia Meet,NY
https://www.tfrrs.org/results/87610/Crowell_Open,https://www.tfrrs.org/results/m/87610/Crowell_Open,m,2024-12-07,Crowell Open,NY
https://www.tfrrs.org/results/87610/Crowell_Open,https://www.tfrrs.org/results/f/87610/Crowell_Open,f,2024-12-07,Crowell Open,NY
https://www.tfrrs.org/results/88063/John_Weaver_Invitational_Indoor,https://www.tfrrs.org/results/m/88063/John_Weaver_Invitational_Indoor,m,2024-12-07,John Weaver Invitational Indoor,NC
https://www.tfrrs.org/results/88063/John_Weaver_Invitational_Indoor,https://www.tfrrs.org/results/f/88063/John_Weaver_Invitational_Indoor,f,2024-12-07,John Weaver Invitational Indoor,NC
https://www.tfrrs.org/results/87307/2024_Penn_Opener,https://www.tfrrs.org/results/m/87307/2024_Penn_Opener,m,2024-12-07,2024 Penn Opener,PA
